origin,destination,number_of_passengers
"Washington, DC (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",199.0
"Washington, DC (Metropolitan Area)","Oklahoma City, OK",455.0
"Washington, DC (Metropolitan Area)","Raleigh/Durham, NC",1140.0
"Washington, DC (Metropolitan Area)","Reno, NV",230.33333333333334
"Washington, DC (Metropolitan Area)","Rochester, NY",223.66666666666666
"Washington, DC (Metropolitan Area)","Des Moines, IA",281.3333333333333
"Washington, DC (Metropolitan Area)","West Palm Beach/Palm Beach, FL",859.0
"Washington, DC (Metropolitan Area)","Atlanta, GA (Metropolitan Area)",4927.75
"Washington, DC (Metropolitan Area)","Tucson, AZ",337.25
"Washington, DC (Metropolitan Area)","Seattle, WA",2297.6666666666665
"Washington, DC (Metropolitan Area)","Charlotte, NC",1614.5
"Washington, DC (Metropolitan Area)","Detroit, MI",1941.75
"Washington, DC (Metropolitan Area)","Minneapolis/St. Paul, MN",1946.75
"Washington, DC (Metropolitan Area)","Greenville/Spartanburg, SC",252.0
"Washington, DC (Metropolitan Area)","Cincinnati, OH",966.25
"Washington, DC (Metropolitan Area)","Pensacola, FL",283.75
"Washington, DC (Metropolitan Area)","Portland, ME",465.0
"Washington, DC (Metropolitan Area)","Salt Lake City, UT",1101.0
"Atlanta, GA (Metropolitan Area)","Albany, NY",251.5
"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",799.5
"Atlanta, GA (Metropolitan Area)","Hartford, CT",601.5
"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",1034.75
"Atlanta, GA (Metropolitan Area)","Nashville, TN",489.5
"Atlanta, GA (Metropolitan Area)","Columbus, OH",772.5
"Atlanta, GA (Metropolitan Area)","St. Louis, MO",925.25
"Atlanta, GA (Metropolitan Area)","Jacksonville, FL",611.25
"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",8072.25
"Atlanta, GA (Metropolitan Area)","Fort Myers, FL",508.75
"Atlanta, GA (Metropolitan Area)","Grand Rapids, MI",350.3333333333333
"Atlanta, GA (Metropolitan Area)","Indianapolis, IN",741.75
"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",4307.25
"Atlanta, GA (Metropolitan Area)","Little Rock, AR",214.25
"Atlanta, GA (Metropolitan Area)","Sacramento, CA",385.6666666666667
"Atlanta, GA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1613.25
"Atlanta, GA (Metropolitan Area)","Kansas City, MO",928.75
"Atlanta, GA (Metropolitan Area)","San Antonio, TX",733.5
"Atlanta, GA (Metropolitan Area)","Omaha, NE",290.0
"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",697.0
"Atlanta, GA (Metropolitan Area)","New Orleans, LA",1023.5
"Atlanta, GA (Metropolitan Area)","Oklahoma City, OK",290.5
"Atlanta, GA (Metropolitan Area)","Raleigh/Durham, NC",971.25
"Atlanta, GA (Metropolitan Area)","Rochester, NY",256.5
"Atlanta, GA (Metropolitan Area)","Detroit, MI",1666.0
"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",1272.5
"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",394.0
"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",2129.0
"Atlanta, GA (Metropolitan Area)","Portland, ME",291.0
"Atlanta, GA (Metropolitan Area)","Tulsa, OK",212.0
"Atlanta, GA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",744.25
"Atlanta, GA (Metropolitan Area)","Richmond, VA",673.25
"Seattle, WA","Pittsburgh, PA",266.5
"Seattle, WA","Hartford, CT",212.0
"Seattle, WA","Cleveland, OH (Metropolitan Area)",205.5
"Seattle, WA","Columbus, OH",273.2
"Seattle, WA","Jacksonville, FL",210.0
"Seattle, WA","Sacramento, CA",1557.75
"Seattle, WA","Kansas City, MO",588.0
"Seattle, WA","San Antonio, TX",470.0
"Seattle, WA","Omaha, NE",338.0
"Seattle, WA","Milwaukee, WI",543.0
"Seattle, WA","New Orleans, LA",504.3333333333333
"Seattle, WA","Oklahoma City, OK",182.0
"Seattle, WA","Reno, NV",389.5
"Seattle, WA","St. Louis, MO",545.0
"Seattle, WA","Tucson, AZ",312.5
"Salt Lake City, UT","Pittsburgh, PA",214.0
"Salt Lake City, UT","Nashville, TN",260.0
"Salt Lake City, UT","Sacramento, CA",479.25
"Salt Lake City, UT","New Orleans, LA",216.5
"Salt Lake City, UT","Raleigh/Durham, NC",223.5
"Salt Lake City, UT","Reno, NV",186.0
"Salt Lake City, UT","Detroit, MI",325.0
"Salt Lake City, UT","St. Louis, MO",250.5
"Salt Lake City, UT","Tampa, FL (Metropolitan Area)",231.0
"Salt Lake City, UT","San Antonio, TX",276.3333333333333
"Pittsburgh, PA","St. Louis, MO",221.75
"Pittsburgh, PA","Tampa, FL (Metropolitan Area)",794.75
"Pittsburgh, PA","Nashville, TN",299.5
"Pittsburgh, PA","Fort Myers, FL",332.0
"Pittsburgh, PA","Miami, FL (Metropolitan Area)",844.0
"Pittsburgh, PA","New Orleans, LA",231.8
"Pittsburgh, PA","Charlotte, NC",346.0
"Pittsburgh, PA","Minneapolis/St. Paul, MN",288.0
"Hartford, CT","Miami, FL (Metropolitan Area)",856.0
"Hartford, CT","Tampa, FL (Metropolitan Area)",840.5
"Hartford, CT","Minneapolis/St. Paul, MN",285.25
"Hartford, CT","West Palm Beach/Palm Beach, FL",341.0
"Hartford, CT","Fort Myers, FL",512.3333333333334
"Hartford, CT","Charlotte, NC",319.0
"Hartford, CT","Detroit, MI",284.0
"El Paso, TX","New York City, NY (Metropolitan Area)",226.66666666666666
"El Paso, TX","San Antonio, TX",312.0
"Nashville, TN","Cleveland, OH (Metropolitan Area)",394.75
"Nashville, TN","St. Louis, MO",203.0
"Nashville, TN","Panama City, FL",248.0
"Nashville, TN","New York City, NY (Metropolitan Area)",2262.0
"Nashville, TN","Sacramento, CA",211.33333333333334
"Nashville, TN","Tampa, FL (Metropolitan Area)",744.5
"Nashville, TN","San Antonio, TX",283.4
"Nashville, TN","New Orleans, LA",370.1666666666667
"Nashville, TN","Raleigh/Durham, NC",589.0
"Nashville, TN","Philadelphia, PA",900.25
"Nashville, TN","Charleston, SC",210.0
"Nashville, TN","Columbus, OH",190.0
"Nashville, TN","Jacksonville, FL",355.0
"Nashville, TN","Fort Myers, FL",233.0
"Nashville, TN","Miami, FL (Metropolitan Area)",1153.75
"Nashville, TN","Kansas City, MO",389.14285714285717
"Nashville, TN","Milwaukee, WI",350.0
"Nashville, TN","Charlotte, NC",564.0
"Nashville, TN","Detroit, MI",773.75
"Nashville, TN","Minneapolis/St. Paul, MN",591.75
"St. Louis, MO","Cleveland, OH (Metropolitan Area)",281.0
"St. Louis, MO","Columbus, OH",184.0
"St. Louis, MO","Tampa, FL (Metropolitan Area)",492.4
"St. Louis, MO","New York City, NY (Metropolitan Area)",1567.25
"St. Louis, MO","Fort Myers, FL",324.0
"St. Louis, MO","Miami, FL (Metropolitan Area)",677.5714285714286
"St. Louis, MO","Sacramento, CA",225.33333333333334
"St. Louis, MO","Kansas City, MO",212.0
"St. Louis, MO","San Antonio, TX",285.0
"St. Louis, MO","Omaha, NE",198.33333333333334
"St. Louis, MO","New Orleans, LA",274.42857142857144
"St. Louis, MO","Raleigh/Durham, NC",287.75
"St. Louis, MO","Charlotte, NC",299.0
"St. Louis, MO","Detroit, MI",447.5
"St. Louis, MO","Minneapolis/St. Paul, MN",625.75
"St. Louis, MO","Philadelphia, PA",506.5
"Jacksonville, FL","Miami, FL (Metropolitan Area)",677.3333333333334
"Jacksonville, FL","Minneapolis/St. Paul, MN",213.0
"Jacksonville, FL","Detroit, MI",210.33333333333334
"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",4811.25
"New York City, NY (Metropolitan Area)","San Antonio, TX",931.5
"New York City, NY (Metropolitan Area)","Omaha, NE",452.0
"New York City, NY (Metropolitan Area)","Oklahoma City, OK",326.5
"New York City, NY (Metropolitan Area)","Tucson, AZ",226.0
"New York City, NY (Metropolitan Area)","Tulsa, OK",217.0
"New York City, NY (Metropolitan Area)","Indianapolis, IN",1433.0
"New York City, NY (Metropolitan Area)","Little Rock, AR",209.33333333333334
"New York City, NY (Metropolitan Area)","Kansas City, MO",1149.5
"New York City, NY (Metropolitan Area)","Milwaukee, WI",1022.0
"Indianapolis, IN","Fort Myers, FL",486.6666666666667
"Indianapolis, IN","Miami, FL (Metropolitan Area)",788.0
"Indianapolis, IN","Tampa, FL (Metropolitan Area)",835.5
"Indianapolis, IN","Kansas City, MO",241.0
"Indianapolis, IN","New Orleans, LA",193.0
"Indianapolis, IN","Raleigh/Durham, NC",229.25
"Indianapolis, IN","Minneapolis/St. Paul, MN",404.25
"Indianapolis, IN","Philadelphia, PA",283.0
"Miami, FL (Metropolitan Area)","Albany, NY",479.6666666666667
"Miami, FL (Metropolitan Area)","Birmingham, AL",195.5
"Miami, FL (Metropolitan Area)","Buffalo, NY",701.6666666666666
"Miami, FL (Metropolitan Area)","Columbus, OH",657.6666666666666
"Miami, FL (Metropolitan Area)","Sacramento, CA",217.5
"Miami, FL (Metropolitan Area)","San Antonio, TX",396.4
"Miami, FL (Metropolitan Area)","Omaha, NE",206.0
"Miami, FL (Metropolitan Area)","Milwaukee, WI",347.85714285714283
"Miami, FL (Metropolitan Area)","New Orleans, LA",1062.0
"Miami, FL (Metropolitan Area)","Raleigh/Durham, NC",1148.5
"Miami, FL (Metropolitan Area)","Rochester, NY",222.0
"Miami, FL (Metropolitan Area)","Philadelphia, PA",2734.0
"Miami, FL (Metropolitan Area)","Kansas City, MO",508.25
"Miami, FL (Metropolitan Area)","Charlotte, NC",809.3333333333334
"Louisville, KY","Tampa, FL (Metropolitan Area)",325.5
"Sacramento, CA","Boise, ID",304.7142857142857
"Sacramento, CA","San Antonio, TX",219.0
"Sacramento, CA","Spokane, WA",224.0
"Sacramento, CA","New Orleans, LA",209.0
"Sacramento, CA","Minneapolis/St. Paul, MN",266.3333333333333
"Sacramento, CA","Philadelphia, PA",200.0
"Tampa, FL (Metropolitan Area)","Albany, NY",320.7142857142857
"Tampa, FL (Metropolitan Area)","Birmingham, AL",254.25
"Tampa, FL (Metropolitan Area)","Buffalo, NY",507.25
"Tampa, FL (Metropolitan Area)","Columbus, OH",717.0
"Tampa, FL (Metropolitan Area)","Kansas City, MO",468.0
"Tampa, FL (Metropolitan Area)","San Antonio, TX",267.0
"Tampa, FL (Metropolitan Area)","Memphis, TN",280.0
"Tampa, FL (Metropolitan Area)","Omaha, NE",210.0
"Tampa, FL (Metropolitan Area)","Milwaukee, WI",498.0
"Tampa, FL (Metropolitan Area)","New Orleans, LA",509.0
"Tampa, FL (Metropolitan Area)","Raleigh/Durham, NC",625.25
"Tampa, FL (Metropolitan Area)","Rochester, NY",272.0
"Tampa, FL (Metropolitan Area)","Charlotte, NC",427.0
"Tampa, FL (Metropolitan Area)","Minneapolis/St. Paul, MN",580.0
"Kansas City, MO","Fort Myers, FL",271.0
"Kansas City, MO","San Antonio, TX",281.75
"Kansas City, MO","Milwaukee, WI",212.25
"Kansas City, MO","New Orleans, LA",265.7142857142857
"Kansas City, MO","Raleigh/Durham, NC",280.8
"Kansas City, MO","Minneapolis/St. Paul, MN",482.75
"Kansas City, MO","Philadelphia, PA",334.0
"Kansas City, MO","Charlotte, NC",243.0
"San Antonio, TX","New Orleans, LA",303.0
"San Antonio, TX","Raleigh/Durham, NC",228.5
"San Antonio, TX","Charlotte, NC",242.0
"San Antonio, TX","Detroit, MI",306.6666666666667
"San Antonio, TX","Minneapolis/St. Paul, MN",306.0
"San Antonio, TX","Philadelphia, PA",341.0
"Memphis, TN","Charlotte, NC",219.5
"Milwaukee, WI","Cleveland, OH (Metropolitan Area)",255.5
"Milwaukee, WI","Fort Myers, FL",436.5
"New Orleans, LA","Cleveland, OH (Metropolitan Area)",249.0
"New Orleans, LA","Columbus, OH",218.5
"New Orleans, LA","Raleigh/Durham, NC",307.75
"New Orleans, LA","Charlotte, NC",287.5
"Raleigh/Durham, NC","Cleveland, OH (Metropolitan Area)",189.5
"Raleigh/Durham, NC","Minneapolis/St. Paul, MN",378.0
"Detroit, MI","West Palm Beach/Palm Beach, FL",230.5
"Philadelphia, PA","Cleveland, OH (Metropolitan Area)",278.0
"Philadelphia, PA","West Palm Beach/Palm Beach, FL",613.3333333333334
"Albany, NY","Fort Myers, FL",200.0
"Fort Myers, FL","Buffalo, NY",402.0
"Fort Myers, FL","Columbus, OH",409.5
"Fort Myers, FL","Grand Rapids, MI",384.0
"Grand Rapids, MI","Minneapolis/St. Paul, MN",218.0
"Minneapolis/St. Paul, MN","Cleveland, OH (Metropolitan Area)",286.0
"Minneapolis/St. Paul, MN","Columbus, OH",318.0
"Minneapolis/St. Paul, MN","Cincinnati, OH",252.0
"Spokane, WA","Boise, ID",411.75
"Cleveland, OH (Metropolitan Area)","Charlotte, NC",378.0
"Columbus, OH","Charlotte, NC",181.0
"Buffalo, NY","Charlotte, NC",207.0
