origin,destination,number_of_passengers
"Dallas/Fort Worth, TX","Salt Lake City, UT",1052.5
"Dallas/Fort Worth, TX","Lubbock, TX",429.25
"Dallas/Fort Worth, TX","Midland/Odessa, TX",418.75
"Dallas/Fort Worth, TX","Tulsa, OK",415.0
"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",244.0
"Dallas/Fort Worth, TX","Richmond, VA",345.0
"Dallas/Fort Worth, TX","Amarillo, TX",313.5
"Dallas/Fort Worth, TX","Austin, TX",1017.5
"Dallas/Fort Worth, TX","Birmingham, AL",422.0
"Dallas/Fort Worth, TX","Cleveland, OH (Metropolitan Area)",531.5
"Dallas/Fort Worth, TX","Boise, ID",208.33333333333334
"Dallas/Fort Worth, TX","Buffalo, NY",215.0
"Dallas/Fort Worth, TX","Chicago, IL",3897.0
"Dallas/Fort Worth, TX","Charleston, SC",309.0
"Dallas/Fort Worth, TX","Columbus, OH",636.75
"Dallas/Fort Worth, TX","Atlanta, GA (Metropolitan Area)",3313.0
"Dallas/Fort Worth, TX","Charlotte, NC",1183.25
"Dallas/Fort Worth, TX","Corpus Christi, TX",211.25
"Denver, CO","Albany, NY",248.14285714285714
"Denver, CO","Pittsburgh, PA",460.0
"Denver, CO","Phoenix, AZ",3328.0
"Denver, CO","Hartford, CT",361.25
"Denver, CO","Nashville, TN",1013.75
"Denver, CO","St. Louis, MO",1097.8
"Denver, CO","Jacksonville, FL",423.25
"Denver, CO","Houston, TX",2405.4
"Denver, CO","Orlando, FL",1890.25
"Denver, CO","New York City, NY (Metropolitan Area)",4334.25
"Denver, CO","Grand Rapids, MI",210.0
"Denver, CO","Las Vegas, NV",2342.0
"Denver, CO","Indianapolis, IN",868.0
"Denver, CO","San Francisco, CA (Metropolitan Area)",4322.0
"Denver, CO","Los Angeles, CA (Metropolitan Area)",5834.666666666667
"Denver, CO","Louisville, KY",262.0
"Denver, CO","Sacramento, CA",801.25
"Denver, CO","Tampa, FL (Metropolitan Area)",1166.0
"Denver, CO","Kansas City, MO",1191.25
"Denver, CO","San Antonio, TX",735.0
"Denver, CO","Omaha, NE",602.0
"Denver, CO","Milwaukee, WI",798.75
"Denver, CO","New Orleans, LA",857.0
"Denver, CO","San Diego, CA",1874.2
"Denver, CO","Norfolk, VA (Metropolitan Area)",231.0
"Denver, CO","Oklahoma City, OK",548.2857142857143
"Denver, CO","Portland, OR",1275.0
"Denver, CO","Raleigh/Durham, NC",771.4
"Denver, CO","Reno, NV",382.3333333333333
"Denver, CO","Tucson, AZ",401.0
"Denver, CO","Seattle, WA",1993.0
"Denver, CO","Detroit, MI",1185.0
"Denver, CO","Minneapolis/St. Paul, MN",2144.5
"Denver, CO","Philadelphia, PA",1286.0
"Denver, CO","Salt Lake City, UT",1407.5
"Denver, CO","Spokane, WA",340.57142857142856
"Denver, CO","Tulsa, OK",396.5
"Denver, CO","Richmond, VA",231.0
"Denver, CO","Austin, TX",1467.4
"Denver, CO","Cleveland, OH (Metropolitan Area)",505.0
"Denver, CO","Boise, ID",387.25
"Denver, CO","Boston, MA (Metropolitan Area)",2675.0
"Denver, CO","Chicago, IL",3673.5
"Denver, CO","Charleston, SC",329.0
"Denver, CO","Columbus, OH",554.6666666666666
"Denver, CO","Atlanta, GA (Metropolitan Area)",2061.0
"Austin, TX","Pittsburgh, PA",208.25
"Austin, TX","Phoenix, AZ",796.75
"Austin, TX","El Paso, TX",321.6
"Austin, TX","Cleveland, OH (Metropolitan Area)",226.0
"Austin, TX","Nashville, TN",387.0
"Austin, TX","Boston, MA (Metropolitan Area)",1018.5
"Austin, TX","Chicago, IL",1469.25
"Austin, TX","Columbus, OH",228.66666666666666
"Austin, TX","St. Louis, MO",323.75
"Austin, TX","Houston, TX",231.0
"Austin, TX","Orlando, FL",803.0
"Austin, TX","New York City, NY (Metropolitan Area)",2488.75
"Austin, TX","Las Vegas, NV",978.5
"Austin, TX","Indianapolis, IN",269.5
"Austin, TX","San Francisco, CA (Metropolitan Area)",2149.5
"Austin, TX","Miami, FL (Metropolitan Area)",786.5
"Austin, TX","Los Angeles, CA (Metropolitan Area)",2372.0
"Austin, TX","Sacramento, CA",283.25
"Austin, TX","Tampa, FL (Metropolitan Area)",369.2
"Austin, TX","Kansas City, MO",278.75
"Austin, TX","Milwaukee, WI",209.0
"Austin, TX","New Orleans, LA",451.0
"Austin, TX","San Diego, CA",674.75
"Austin, TX","Raleigh/Durham, NC",379.0
"Austin, TX","Washington, DC (Metropolitan Area)",1282.0
