Origin city,Destination city
"Albuquerque, NM","Dallas/Fort Worth, TX"
"Albuquerque, NM","Denver, CO"
"Albuquerque, NM","Austin, TX"
"Albuquerque, NM","Phoenix, AZ"
"Albuquerque, NM","Boston, MA (Metropolitan Area)"
"Albuquerque, NM","Chicago, IL"
"Albuquerque, NM","Houston, TX"
"Albuquerque, NM","Orlando, FL"
"Albuquerque, NM","Las Vegas, NV"
"Albuquerque, NM","San Francisco, CA (Metropolitan Area)"
"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)"
"Albuquerque, NM","San Diego, CA"
"Albuquerque, NM","Portland, OR"
"Albuquerque, NM","Washington, DC (Metropolitan Area)"
"Albuquerque, NM","Atlanta, GA (Metropolitan Area)"
"Albuquerque, NM","Seattle, WA"
"Albuquerque, NM","Salt Lake City, UT"
"Dallas/Fort Worth, TX","Pittsburgh, PA"
"Dallas/Fort Worth, TX","Denver, CO"
"Dallas/Fort Worth, TX","Phoenix, AZ"
"Dallas/Fort Worth, TX","Hartford, CT"
"Dallas/Fort Worth, TX","El Paso, TX"
"Dallas/Fort Worth, TX","Nashville, TN"
"Dallas/Fort Worth, TX","St. Louis, MO"
"Dallas/Fort Worth, TX","Jacksonville, FL"
"Dallas/Fort Worth, TX","Houston, TX"
"Dallas/Fort Worth, TX","Orlando, FL"
"Dallas/Fort Worth, TX","Panama City, FL"
"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)"
"Dallas/Fort Worth, TX","Indianapolis, IN"
"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)"
"Dallas/Fort Worth, TX","Little Rock, AR"
"Dallas/Fort Worth, TX","Louisville, KY"
"Dallas/Fort Worth, TX","Sacramento, CA"
"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Kansas City, MO"
"Dallas/Fort Worth, TX","San Antonio, TX"
"Dallas/Fort Worth, TX","Memphis, TN"
"Dallas/Fort Worth, TX","Omaha, NE"
"Dallas/Fort Worth, TX","Milwaukee, WI"
"Dallas/Fort Worth, TX","New Orleans, LA"
"Dallas/Fort Worth, TX","San Diego, CA"
"Dallas/Fort Worth, TX","Oklahoma City, OK"
"Dallas/Fort Worth, TX","Raleigh/Durham, NC"
"Dallas/Fort Worth, TX","Reno, NV"
"Dallas/Fort Worth, TX","Des Moines, IA"
"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)"
"Dallas/Fort Worth, TX","Detroit, MI"
"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC"
"Dallas/Fort Worth, TX","Pensacola, FL"
