origin,destination,nsmiles
"Atlanta, GA (Metropolitan Area)","Kansas City, MO",1113
"Atlanta, GA (Metropolitan Area)","San Antonio, TX",1404
"Atlanta, GA (Metropolitan Area)","Omaha, NE",1321
"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",1078
"Atlanta, GA (Metropolitan Area)","New Orleans, LA",683
"Atlanta, GA (Metropolitan Area)","Oklahoma City, OK",1221
"Atlanta, GA (Metropolitan Area)","Raleigh/Durham, NC",568
"Atlanta, GA (Metropolitan Area)","Rochester, NY",1206
"Atlanta, GA (Metropolitan Area)","Detroit, MI",958
"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",1459
"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",602
"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",1071
"Atlanta, GA (Metropolitan Area)","Portland, ME",3489
"Atlanta, GA (Metropolitan Area)","Tulsa, OK",1082
"Atlanta, GA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",877
"Atlanta, GA (Metropolitan Area)","Richmond, VA",773
"Seattle, WA","Pittsburgh, PA",3410
"Seattle, WA","Hartford, CT",3902
"Seattle, WA","Cleveland, OH (Metropolitan Area)",3243
"Seattle, WA","Columbus, OH",3236
"Seattle, WA","Jacksonville, FL",3925
"Seattle, WA","Sacramento, CA",975
"Seattle, WA","Kansas City, MO",2391
"Seattle, WA","San Antonio, TX",2854
"Seattle, WA","Omaha, NE",2195
"Seattle, WA","Milwaukee, WI",2719
"Seattle, WA","New Orleans, LA",3352
"Seattle, WA","Oklahoma City, OK",2441
"Seattle, WA","Reno, NV",907
"Seattle, WA","St. Louis, MO",2758
"Seattle, WA","Tucson, AZ",1957
"Salt Lake City, UT","Pittsburgh, PA",2663
"Salt Lake City, UT","Nashville, TN",2254
"Salt Lake City, UT","Sacramento, CA",853
"Salt Lake City, UT","New Orleans, LA",2296
"Salt Lake City, UT","Raleigh/Durham, NC",2945
"Salt Lake City, UT","Reno, NV",677
"Salt Lake City, UT","Detroit, MI",2377
"Salt Lake City, UT","St. Louis, MO",1868
"Salt Lake City, UT","Tampa, FL (Metropolitan Area)",3034
"Salt Lake City, UT","San Antonio, TX",1749
"Pittsburgh, PA","St. Louis, MO",883
"Pittsburgh, PA","Tampa, FL (Metropolitan Area)",1407
"Pittsburgh, PA","Nashville, TN",742
"Pittsburgh, PA","Fort Myers, FL",1558
"Pittsburgh, PA","Miami, FL (Metropolitan Area)",1634
"Pittsburgh, PA","New Orleans, LA",1478
"Pittsburgh, PA","Charlotte, NC",590
"Pittsburgh, PA","Minneapolis/St. Paul, MN",1166
"Hartford, CT","Miami, FL (Metropolitan Area)",1925
"Hartford, CT","Tampa, FL (Metropolitan Area)",1790
"Hartford, CT","Minneapolis/St. Paul, MN",1686
"Hartford, CT","West Palm Beach/Palm Beach, FL",1826
"Hartford, CT","Fort Myers, FL",1902
"Hartford, CT","Charlotte, NC",1035
"Hartford, CT","Detroit, MI",880
"El Paso, TX","New York City, NY (Metropolitan Area)",3064
"El Paso, TX","San Antonio, TX",797
"Nashville, TN","Cleveland, OH (Metropolitan Area)",721
"Nashville, TN","St. Louis, MO",422
"Nashville, TN","Panama City, FL",663
"Nashville, TN","New York City, NY (Metropolitan Area)",1229
"Nashville, TN","Sacramento, CA",3078
"Nashville, TN","Tampa, FL (Metropolitan Area)",986
"Nashville, TN","San Antonio, TX",1321
"Nashville, TN","New Orleans, LA",758
"Nashville, TN","Raleigh/Durham, NC",720
"Nashville, TN","Philadelphia, PA",1084
"Nashville, TN","Charleston, SC",705
"Nashville, TN","Columbus, OH",543
"Nashville, TN","Jacksonville, FL",778
"Nashville, TN","Fort Myers, FL",1163
"Nashville, TN","Miami, FL (Metropolitan Area)",1299
"Nashville, TN","Kansas City, MO",789
"Nashville, TN","Milwaukee, WI",765
"Nashville, TN","Charlotte, NC",527
"Nashville, TN","Detroit, MI",734
"Nashville, TN","Minneapolis/St. Paul, MN",1119
"St. Louis, MO","Cleveland, OH (Metropolitan Area)",779
"St. Louis, MO","Columbus, OH",651
"St. Louis, MO","Tampa, FL (Metropolitan Area)",1384
"St. Louis, MO","New York City, NY (Metropolitan Area)",1426
"St. Louis, MO","Fort Myers, FL",1561
"St. Louis, MO","Miami, FL (Metropolitan Area)",1705
"St. Louis, MO","Sacramento, CA",2706
"St. Louis, MO","Kansas City, MO",391
"St. Louis, MO","San Antonio, TX",1261
"St. Louis, MO","Omaha, NE",564
"St. Louis, MO","New Orleans, LA",960
"St. Louis, MO","Raleigh/Durham, NC",1077
"St. Louis, MO","Charlotte, NC",910
"St. Louis, MO","Detroit, MI",706
"St. Louis, MO","Minneapolis/St. Paul, MN",736
"St. Louis, MO","Philadelphia, PA",1299
"Jacksonville, FL","Miami, FL (Metropolitan Area)",540
"Jacksonville, FL","Minneapolis/St. Paul, MN",1890
"Jacksonville, FL","Detroit, MI",1311
"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1619
"New York City, NY (Metropolitan Area)","San Antonio, TX",2550
"New York City, NY (Metropolitan Area)","Omaha, NE",1853
"New York City, NY (Metropolitan Area)","Oklahoma City, OK",2159
"New York City, NY (Metropolitan Area)","Tucson, AZ",3431
"New York City, NY (Metropolitan Area)","Tulsa, OK",1982
"New York City, NY (Metropolitan Area)","Indianapolis, IN",1067
"New York City, NY (Metropolitan Area)","Little Rock, AR",1746
"New York City, NY (Metropolitan Area)","Kansas City, MO",1786
"New York City, NY (Metropolitan Area)","Milwaukee, WI",1196
"Indianapolis, IN","Fort Myers, FL",1524
"Indianapolis, IN","Miami, FL (Metropolitan Area)",1645
"Indianapolis, IN","Tampa, FL (Metropolitan Area)",1350
"Indianapolis, IN","Kansas City, MO",723
"Indianapolis, IN","New Orleans, LA",1139
"Indianapolis, IN","Raleigh/Durham, NC",808
"Indianapolis, IN","Minneapolis/St. Paul, MN",808
"Indianapolis, IN","Philadelphia, PA",943
"Miami, FL (Metropolitan Area)","Albany, NY",1975
"Miami, FL (Metropolitan Area)","Birmingham, AL",1065
"Miami, FL (Metropolitan Area)","Buffalo, NY",1911
"Miami, FL (Metropolitan Area)","Columbus, OH",1597
"Miami, FL (Metropolitan Area)","Sacramento, CA",4100
"Miami, FL (Metropolitan Area)","San Antonio, TX",1835
"Miami, FL (Metropolitan Area)","Omaha, NE",2243
"Miami, FL (Metropolitan Area)","Milwaukee, WI",2028
"Miami, FL (Metropolitan Area)","New Orleans, LA",1084
"Miami, FL (Metropolitan Area)","Raleigh/Durham, NC",1103
"Miami, FL (Metropolitan Area)","Rochester, NY",1941
"Miami, FL (Metropolitan Area)","Philadelphia, PA",1634
"Miami, FL (Metropolitan Area)","Kansas City, MO",2015
"Miami, FL (Metropolitan Area)","Charlotte, NC",1049
"Louisville, KY","Tampa, FL (Metropolitan Area)",1172
"Sacramento, CA","Boise, ID",703
"Sacramento, CA","San Antonio, TX",2350
"Sacramento, CA","Spokane, WA",1045
"Sacramento, CA","New Orleans, LA",3017
"Sacramento, CA","Minneapolis/St. Paul, MN",2436
"Sacramento, CA","Philadelphia, PA",3945
"Tampa, FL (Metropolitan Area)","Albany, NY",1821
"Tampa, FL (Metropolitan Area)","Birmingham, AL",740
"Tampa, FL (Metropolitan Area)","Buffalo, NY",1698
"Tampa, FL (Metropolitan Area)","Columbus, OH",1337
"Tampa, FL (Metropolitan Area)","Kansas City, MO",1686
"Tampa, FL (Metropolitan Area)","San Antonio, TX",1561
"Tampa, FL (Metropolitan Area)","Memphis, TN",1055
"Tampa, FL (Metropolitan Area)","Omaha, NE",1916
"Tampa, FL (Metropolitan Area)","Milwaukee, WI",1733
"Tampa, FL (Metropolitan Area)","New Orleans, LA",783
"Tampa, FL (Metropolitan Area)","Raleigh/Durham, NC",923
"Tampa, FL (Metropolitan Area)","Rochester, NY",1739
"Tampa, FL (Metropolitan Area)","Charlotte, NC",818
"Tampa, FL (Metropolitan Area)","Minneapolis/St. Paul, MN",2104
"Kansas City, MO","Fort Myers, FL",1860
"Kansas City, MO","San Antonio, TX",1138
"Kansas City, MO","Milwaukee, WI",700
"Kansas City, MO","New Orleans, LA",1111
"Kansas City, MO","Raleigh/Durham, NC",1469
"Kansas City, MO","Minneapolis/St. Paul, MN",633
"Kansas City, MO","Philadelphia, PA",1666
"Kansas City, MO","Charlotte, NC",1298
"San Antonio, TX","New Orleans, LA",794
"San Antonio, TX","Raleigh/Durham, NC",1967
"San Antonio, TX","Charlotte, NC",1759
"San Antonio, TX","Detroit, MI",1954
"San Antonio, TX","Minneapolis/St. Paul, MN",1767
"San Antonio, TX","Philadelphia, PA",2404
"Memphis, TN","Charlotte, NC",821
"Milwaukee, WI","Cleveland, OH (Metropolitan Area)",526
"Milwaukee, WI","Fort Myers, FL",1907
"New Orleans, LA","Cleveland, OH (Metropolitan Area)",1477
"New Orleans, LA","Columbus, OH",1297
"New Orleans, LA","Raleigh/Durham, NC",1246
"New Orleans, LA","Charlotte, NC",1047
"Raleigh/Durham, NC","Cleveland, OH (Metropolitan Area)",699
"Raleigh/Durham, NC","Minneapolis/St. Paul, MN",1601
"Detroit, MI","West Palm Beach/Palm Beach, FL",1752
"Philadelphia, PA","Cleveland, OH (Metropolitan Area)",583
"Philadelphia, PA","West Palm Beach/Palm Beach, FL",1533
"Albany, NY","Fort Myers, FL",1941
"Fort Myers, FL","Buffalo, NY",1844
"Fort Myers, FL","Columbus, OH",1500
"Fort Myers, FL","Grand Rapids, MI",1849
"Grand Rapids, MI","Minneapolis/St. Paul, MN",655
"Minneapolis/St. Paul, MN","Cleveland, OH (Metropolitan Area)",998
"Minneapolis/St. Paul, MN","Columbus, OH",1005
"Minneapolis/St. Paul, MN","Cincinnati, OH",958
"Spokane, WA","Boise, ID",462
"Cleveland, OH (Metropolitan Area)","Charlotte, NC",693
"Columbus, OH","Charlotte, NC",558
"Buffalo, NY","Charlotte, NC",879
