origin,destination,nsmiles
"Denver, CO","Tulsa, OK",870
"Denver, CO","Richmond, VA",2379
"Denver, CO","Austin, TX",1248
"Denver, CO","Cleveland, OH (Metropolitan Area)",1927
"Denver, CO","Boise, ID",1042
"Denver, CO","Boston, MA (Metropolitan Area)",2815
"Denver, CO","Chicago, IL",1426
"Denver, CO","Charleston, SC",2328
"Denver, CO","Columbus, OH",1852
"Denver, CO","Atlanta, GA (Metropolitan Area)",1926
"Austin, TX","Pittsburgh, PA",1946
"Austin, TX","Phoenix, AZ",1400
"Austin, TX","El Paso, TX",848
"Austin, TX","Cleveland, OH (Metropolitan Area)",1889
"Austin, TX","Nashville, TN",1215
"Austin, TX","Boston, MA (Metropolitan Area)",2729
"Austin, TX","Chicago, IL",1574
"Austin, TX","Columbus, OH",1726
"Austin, TX","St. Louis, MO",1157
"Austin, TX","Houston, TX",225
"Austin, TX","Orlando, FL",1597
"Austin, TX","New York City, NY (Metropolitan Area)",2445
"Austin, TX","Las Vegas, NV",1751
"Austin, TX","Indianapolis, IN",1479
"Austin, TX","San Francisco, CA (Metropolitan Area)",2416
"Austin, TX","Miami, FL (Metropolitan Area)",1773
"Austin, TX","Los Angeles, CA (Metropolitan Area)",1994
"Austin, TX","Sacramento, CA",2379
"Austin, TX","Tampa, FL (Metropolitan Area)",1490
"Austin, TX","Kansas City, MO",1047
"Austin, TX","Milwaukee, WI",1662
"Austin, TX","New Orleans, LA",713
"Austin, TX","San Diego, CA",1870
"Austin, TX","Raleigh/Durham, NC",1867
"Austin, TX","Washington, DC (Metropolitan Area)",2084
"Austin, TX","Detroit, MI",1848
"Austin, TX","Philadelphia, PA",2299
"Austin, TX","Salt Lake City, UT",1746
"Austin, TX","Atlanta, GA (Metropolitan Area)",1305
"Phoenix, AZ","Pittsburgh, PA",2912
"Phoenix, AZ","St. Louis, MO",2033
"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",1046
"Phoenix, AZ","Sacramento, CA",1040
"Phoenix, AZ","Tampa, FL (Metropolitan Area)",2872
"Phoenix, AZ","San Antonio, TX",1354
"Phoenix, AZ","San Diego, CA",488
"Phoenix, AZ","Portland, OR",1625
"Phoenix, AZ","Raleigh/Durham, NC",3046
"Phoenix, AZ","Reno, NV",966
"Phoenix, AZ","Washington, DC (Metropolitan Area)",3141
"Phoenix, AZ","Seattle, WA",1781
