origin,destination,average_fare
"St. Louis, MO","Cleveland, OH (Metropolitan Area)",188.725
"St. Louis, MO","Columbus, OH",196.06
"St. Louis, MO","Tampa, FL (Metropolitan Area)",196.952
"St. Louis, MO","New York City, NY (Metropolitan Area)",232.11499999999998
"St. Louis, MO","Fort Myers, FL",201.676
"St. Louis, MO","Miami, FL (Metropolitan Area)",221.94571428571427
"St. Louis, MO","Sacramento, CA",267.44
"St. Louis, MO","Kansas City, MO",171.3033333333333
"St. Louis, MO","San Antonio, TX",227.775
"St. Louis, MO","Omaha, NE",188.54333333333332
"St. Louis, MO","New Orleans, LA",228.31428571428572
"St. Louis, MO","Raleigh/Durham, NC",244.2775
"St. Louis, MO","Charlotte, NC",281.85
"St. Louis, MO","Detroit, MI",220.23000000000002
"St. Louis, MO","Minneapolis/St. Paul, MN",230.7875
"St. Louis, MO","Philadelphia, PA",251.695
"Jacksonville, FL","Miami, FL (Metropolitan Area)",129.4466666666667
"Jacksonville, FL","Minneapolis/St. Paul, MN",260.67
"Jacksonville, FL","Detroit, MI",245.33666666666667
"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",183.3675
"New York City, NY (Metropolitan Area)","San Antonio, TX",264.265
"New York City, NY (Metropolitan Area)","Omaha, NE",268.15250000000003
"New York City, NY (Metropolitan Area)","Oklahoma City, OK",284.78
"New York City, NY (Metropolitan Area)","Tucson, AZ",303.85
"New York City, NY (Metropolitan Area)","Tulsa, OK",300.63
"New York City, NY (Metropolitan Area)","Indianapolis, IN",192.5225
"New York City, NY (Metropolitan Area)","Little Rock, AR",288.6566666666667
"New York City, NY (Metropolitan Area)","Kansas City, MO",247.57999999999998
"New York City, NY (Metropolitan Area)","Milwaukee, WI",198.505
"Indianapolis, IN","Fort Myers, FL",183.85166666666666
"Indianapolis, IN","Miami, FL (Metropolitan Area)",182.58749999999998
"Indianapolis, IN","Tampa, FL (Metropolitan Area)",155.3725
"Indianapolis, IN","Kansas City, MO",193.67749999999998
"Indianapolis, IN","New Orleans, LA",189.29
"Indianapolis, IN","Raleigh/Durham, NC",211.95999999999998
"Indianapolis, IN","Minneapolis/St. Paul, MN",253.01000000000002
"Indianapolis, IN","Philadelphia, PA",322.11
"Miami, FL (Metropolitan Area)","Albany, NY",180.7166666666667
"Miami, FL (Metropolitan Area)","Birmingham, AL",268.63
"Miami, FL (Metropolitan Area)","Buffalo, NY",166.945
"Miami, FL (Metropolitan Area)","Columbus, OH",178.09333333333333
"Miami, FL (Metropolitan Area)","Sacramento, CA",317.74
"Miami, FL (Metropolitan Area)","San Antonio, TX",223.22999999999996
"Miami, FL (Metropolitan Area)","Omaha, NE",243.26
"Miami, FL (Metropolitan Area)","Milwaukee, WI",197.71
"Miami, FL (Metropolitan Area)","New Orleans, LA",161.73
"Miami, FL (Metropolitan Area)","Raleigh/Durham, NC",165.26999999999998
"Miami, FL (Metropolitan Area)","Rochester, NY",215.49
"Miami, FL (Metropolitan Area)","Philadelphia, PA",188.39
"Miami, FL (Metropolitan Area)","Kansas City, MO",227.1125
"Miami, FL (Metropolitan Area)","Charlotte, NC",265.8533333333333
"Louisville, KY","Tampa, FL (Metropolitan Area)",170.04250000000002
"Sacramento, CA","Boise, ID",128.98857142857142
"Sacramento, CA","San Antonio, TX",235.935
"Sacramento, CA","Spokane, WA",172.4175
"Sacramento, CA","New Orleans, LA",242.28
"Sacramento, CA","Minneapolis/St. Paul, MN",278.3566666666666
"Sacramento, CA","Philadelphia, PA",316.8
"Tampa, FL (Metropolitan Area)","Albany, NY",207.59
"Tampa, FL (Metropolitan Area)","Birmingham, AL",190.82999999999998
"Tampa, FL (Metropolitan Area)","Buffalo, NY",171.185
"Tampa, FL (Metropolitan Area)","Columbus, OH",154.4475
"Tampa, FL (Metropolitan Area)","Kansas City, MO",187.81
"Tampa, FL (Metropolitan Area)","San Antonio, TX",227.39833333333334
"Tampa, FL (Metropolitan Area)","Memphis, TN",166.54500000000002
"Tampa, FL (Metropolitan Area)","Omaha, NE",171.46
"Tampa, FL (Metropolitan Area)","Milwaukee, WI",175.74
"Tampa, FL (Metropolitan Area)","New Orleans, LA",157.3625
"Tampa, FL (Metropolitan Area)","Raleigh/Durham, NC",168.89499999999998
"Tampa, FL (Metropolitan Area)","Rochester, NY",199.63400000000001
"Tampa, FL (Metropolitan Area)","Charlotte, NC",289.905
"Tampa, FL (Metropolitan Area)","Minneapolis/St. Paul, MN",220.59
"Kansas City, MO","Fort Myers, FL",203.17
"Kansas City, MO","San Antonio, TX",184.35249999999996
"Kansas City, MO","Milwaukee, WI",191.10249999999996
"Kansas City, MO","New Orleans, LA",206.64714285714288
"Kansas City, MO","Raleigh/Durham, NC",183.05800000000002
"Kansas City, MO","Minneapolis/St. Paul, MN",203.53500000000003
"Kansas City, MO","Philadelphia, PA",272.06
"Kansas City, MO","Charlotte, NC",281.3
"San Antonio, TX","New Orleans, LA",167.288
"San Antonio, TX","Raleigh/Durham, NC",182.26999999999998
"San Antonio, TX","Charlotte, NC",274.91
"San Antonio, TX","Detroit, MI",264.4433333333334
"San Antonio, TX","Minneapolis/St. Paul, MN",254.14249999999998
"San Antonio, TX","Philadelphia, PA",257.95
"Memphis, TN","Charlotte, NC",285.7
"Milwaukee, WI","Cleveland, OH (Metropolitan Area)",119.9375
"Milwaukee, WI","Fort Myers, FL",197.44750000000002
"New Orleans, LA","Cleveland, OH (Metropolitan Area)",172.9225
"New Orleans, LA","Columbus, OH",170.29500000000002
"New Orleans, LA","Raleigh/Durham, NC",178.525
"New Orleans, LA","Charlotte, NC",266.44500000000005
"Raleigh/Durham, NC","Cleveland, OH (Metropolitan Area)",194.695
"Raleigh/Durham, NC","Minneapolis/St. Paul, MN",243.485
"Detroit, MI","West Palm Beach/Palm Beach, FL",258.295
"Philadelphia, PA","Cleveland, OH (Metropolitan Area)",319.2966666666667
"Philadelphia, PA","West Palm Beach/Palm Beach, FL",212.91333333333333
"Albany, NY","Fort Myers, FL",235.93
"Fort Myers, FL","Buffalo, NY",175.48
"Fort Myers, FL","Columbus, OH",175.69833333333335
"Fort Myers, FL","Grand Rapids, MI",184.05
"Grand Rapids, MI","Minneapolis/St. Paul, MN",239.495
"Minneapolis/St. Paul, MN","Cleveland, OH (Metropolitan Area)",281.73
"Minneapolis/St. Paul, MN","Columbus, OH",257.25
"Minneapolis/St. Paul, MN","Cincinnati, OH",262.91
"Spokane, WA","Boise, ID",106.4325
"Cleveland, OH (Metropolitan Area)","Charlotte, NC",258.13
"Columbus, OH","Charlotte, NC",283.04
"Buffalo, NY","Charlotte, NC",249.33
